Days,Temperature,Humidity,Organic compound(Air) Level,Air Quality Level,Pressure(Kpa),Altitude(m)
,23.8,90.1,1616,1871,1.01,0.67
,23.8,90.3,1615,1872,1.01,0.42
,23.8,90.2,1611,1870,1.01,0.83
,23.8,89.9,1616,1869,1.01,0.75
,23.8,89.7,1613,1866,1.01,0.75
,23.8,89.9,1613,1869,1.01,0.33
,23.7,89.4,1661,1869,1.01,0.5
,23.7,90.5,1614,1870,1.01,0.17
,23.7,90,1611,1863,1.01,0.5
,23.7,89.7,1612,1863,1.01,0.75
,23.7,90,1610,1865,1.01,0.83
,23.7,89.9,1605,1858,1.01,0.5
,23.7,89.7,1612,1866,1.01,0
,23.7,90,1601,1856,1.01,0.33
,23.6,89.6,1606,1860,1.01,0.17
,23.7,90,1607,1863,1.01,0.42
,23.6,89.9,1525,1859,1.01,0.33
,23.6,89.7,1607,1862,1.01,0.42
,23.6,89.6,1603,1861,1.01,0.08
,23.6,90,1616,1862,1.01,0.17
,nan,nan,560,1349,1.01,-0.33
,23.2,90.8,1186,1578,1.01,-0.75
,23.2,91.5,1466,1680,1.01,-0.25
,23.2,91.4,1610,1757,1.01,-0.33
,23.2,91.7,1671,1807,1.01,-0.25
,23.1,91.5,1698,1837,1.01,-0.08
,23.2,91.8,1701,1854,1.01,-0.67
,23.1,91.8,1707,1868,1.01,-0.33
,23.1,91.6,1754,1873,1.01,0.17
,23.1,91.5,1664,1873,1.01,-0.17
,23.2,91.5,1691,1877,1.01,0
,23.1,91.7,1676,1879,1.01,0.33
,23.1,91.4,1680,1885,1.01,0
,23.1,91.3,1675,1887,1.01,0.08
,23.1,91.1,1669,1887,1.01,-0.25
,23.1,90.9,1664,1887,1.01,-0.17
,23,90.5,1662,1883,1.01,0
,23,90.7,1649,1872,1.01,0.08
,23,90.5,1645,1872,1.01,-0.17
,23,90.5,1658,1875,1.01,0.25
,22.9,90.8,1658,1883,1.01,0.17
,22.9,90.7,1653,1884,1.01,0.25
,22.9,90.5,1648,1879,1.01,0.08
,22.9,90.1,1655,1885,1.01,0.25
,22.8,90,1648,1872,1.01,0.25
,22.8,90.3,1649,1882,1.01,0.33
,22.8,89.9,1645,1881,1.01,0.42
,22.8,89.6,1645,1879,1.01,0.42
,22.7,89.5,1645,1875,1.01,0.33
,22.7,88.9,1638,1879,1.01,-0.25
,22.7,88.7,1637,1874,1.01,-1
,22.7,88.2,1637,1873,1.01,0.67
,22.6,88.3,1639,1874,1.01,1.25
,22.6,88.4,1622,1870,1.01,1
,22.6,88.1,1637,1871,1.01,0.08
,22.6,87.8,1637,1867,1.01,1.25
,22.5,87.5,1627,1867,1.01,1
,22.5,87.2,1628,1878,1.01,-0.83
,22.5,86.5,1616,1860,1.01,2.5
,22.5,86.3,1629,1871,1.01,3.41
,22.5,86.2,1627,1867,1.01,3.58
,22.4,85.7,1622,1872,1.01,4.33
,22.4,85.1,1622,1864,1.01,2.08
,22.4,85.1,1621,1866,1.01,3.25
,22.4,84.7,1594,1865,1.01,3.75
,22.4,84.6,1613,1849,1.01,3.08
,22.3,84.4,1621,1869,1.01,3.75
,22.3,84.2,1618,1856,1.01,3
,22.3,83.8,1608,1856,1.01,3.41
,22.3,83.5,1610,1848,1.01,2.91
,22.2,83.2,1620,1863,1.01,3.08
,22.2,83,1606,1849,1.01,2.5
,22.2,82.8,1615,1840,1.01,2.33
,22.2,82.5,1618,1853,1.01,3.25
,22.1,82.3,1614,1838,1.01,3.91
,22.1,82.3,1618,1843,1.01,3
,22.1,82.1,1616,1847,1.01,3.41
,22.1,81.6,1605,1842,1.01,2.25
,22,81.4,1615,1846,1.01,2.58
,22,81.1,1615,1845,1.01,3.25
,22,81,1605,1840,1.01,3.66
,21.9,80.7,1610,1846,1.01,3.16
,21.9,80.4,1607,1845,1.01,3.08
,21.9,80.3,1615,1882,1.01,3.33
,21.8,80.1,1611,1839,1.01,2.66
,21.8,79.8,1604,1835,1.01,3.33
,21.8,79.7,1609,1845,1.01,3.16
,21.8,79.5,1606,1830,1.01,3.25
,21.8,79.1,1601,1839,1.01,3.58
,21.8,79.1,1603,1847,1.01,3.25
,21.7,78.7,1610,1850,1.01,3.33
,21.7,78.5,1591,1837,1.01,3.41
,21.7,78.3,1607,1841,1.01,2.91
,21.7,78.1,1601,1831,1.01,3.41
,21.6,77.9,1611,1847,1.01,3.58
,21.6,77.7,1601,1845,1.01,2.83
,21.6,77.5,1606,1838,1.01,3.16
,21.6,77.1,1611,1840,1.01,3.91
,21.5,76.8,1606,1840,1.01,3.66
,21.5,76.6,1625,1837,1.01,3.66
,21.5,76.4,1595,1829,1.01,2.91
,21.5,76.4,1631,1823,1.01,3.16
,21.4,76.1,1603,1840,1.01,2.83
,21.5,76,1602,1828,1.01,3
,21.4,75.5,1593,1840,1.01,3.08
,21.4,75.4,1602,1841,1.01,3.16
,21.4,75.2,1606,1838,1.01,2.83
,21.3,75,1597,1831,1.01,2.75
,21.3,74.7,1600,1840,1.01,2.66
,21.3,74.6,1602,1840,1.01,3
,21.3,74.4,1600,1834,1.01,2.58
,21.2,74.2,1594,1843,1.01,2.33
,21.2,74,1582,1844,1.01,2.58
,21.1,73.9,1600,1845,1.01,2.91
,21.1,73.7,1600,1829,1.01,2.41
,21.1,73.6,1600,1840,1.01,2.33
,21.1,73.4,1600,1845,1.01,2.75
,21.1,73.3,1595,1840,1.01,2.5
,21,73,1713,1841,1.01,2.5
,21.1,72.9,1600,1840,1.01,2.41
,21,72.6,1600,1825,1.01,2.66
,21,72.4,1600,1835,1.01,2.75
,21,72.2,1598,1840,1.01,2.25
,21,72.2,1599,1841,1.01,2.41
,21,71.9,1593,1840,1.01,2.58
,21,71.6,1582,1840,1.01,2.75
,20.9,71.4,1598,1846,1.01,2.08
,20.9,71.2,1600,1832,1.01,2.16
,20.9,71,1594,1841,1.01,2.16
,20.9,70.8,1590,1826,1.01,2.58
,20.9,70.7,1600,1839,1.01,2.16
,20.8,70.4,1598,1824,1.01,2.08
,20.8,70.2,1585,1811,1.01,2.41
,20.8,70,1535,1837,1.01,2.41
,20.8,69.9,1584,1839,1.01,2.66
,20.8,69.8,1593,1836,1.01,2.08
,20.7,69.6,1600,1840,1.01,2.5
,20.7,69.5,1599,1845,1.01,2.41
,20.7,69.3,1600,1838,1.01,2.83
,20.7,69.1,1596,1843,1.01,2.33
,20.7,68.9,1600,1847,1.01,2.41
,20.7,68.7,1591,1840,1.01,2.33
,20.6,68.5,1590,1824,1.01,2.25
,20.6,68.3,1590,1842,1.01,1.75
,20.6,68.3,1590,1882,1.01,2.16
,20.6,68.1,1590,1840,1.01,2.58
,20.6,68,1593,1838,1.01,2.08
,20.6,67.8,1585,1823,1.01,2.41
,20.5,67.5,1597,1838,1.01,2.25
,20.5,67.5,1572,1840,1.01,3.33
,20.5,67.3,1590,1838,1.01,1.58
,20.5,67.1,1517,1842,1.01,2.41
,20.4,67,1649,1840,1.01,2.08
,20.4,66.7,1594,1837,1.01,2.33
,20.4,66.5,1595,1836,1.01,1.67
,20.4,66.4,1593,1830,1.01,1.83
,20.4,66.4,1614,1833,1.01,2.16
,20.4,66.2,1591,1833,1.01,2.33
,20.3,66.1,1584,1825,1.01,1.83
,20.3,66,1588,1826,1.01,1.83
,20.3,65.8,1589,1827,1.01,2.16
,20.2,65.7,1583,1824,1.01,2
,20.3,65.6,1594,1835,1.01,2.58
,20.3,65.6,1589,1899,1.01,1.83
,20.2,65.2,1584,1833,1.01,2.08
,20.2,65,1584,1826,1.01,1.75
,20.2,64.8,1587,1824,1.01,2.33
,20.1,64.6,1601,1835,1.01,2.25
,20.1,64.6,1593,1830,1.01,2.08
,20.1,64.4,1589,1826,1.01,1.5
,20.1,64.3,1516,1830,1.01,2.16
,20,64.1,1587,1814,1.01,2.08
,20,64,1581,1819,1.01,2
,20,64,1587,1819,1.01,2.41
,20,64,1589,1838,1.01,2.41
,19.9,63.7,1585,1836,1.01,2.41
,19.9,63.8,1587,1825,1.01,2.16
,19.9,63.5,1577,1825,1.01,2.41
,19.9,63.4,1591,1831,1.01,2.5
,19.9,63.4,1573,1826,1.01,2.83
,19.8,63.1,1579,1809,1.01,2.5
,19.8,63,1585,1825,1.01,2.33
,19.8,63,1588,1865,1.01,2
,19.8,63,1590,1840,1.01,2.5
,19.8,62.8,1587,1843,1.01,2.83
,19.8,62.6,1584,1838,1.01,2.08
,19.7,62.5,1616,1833,1.01,1.58
,19.7,62.3,1601,1819,1.01,2.83
,19.7,62.3,1584,1826,1.01,2.66
,19.7,62.2,1584,1831,1.01,2.33
,19.6,62,1648,1830,1.01,2.16
,19.6,61.9,1586,1840,1.01,1.91
,19.6,61.8,1584,1823,1.01,2.5
,19.6,61.7,1489,1833,1.01,1.83
,19.6,61.7,1577,1826,1.01,2.33
,19.6,61.5,1584,1836,1.01,2.41
,19.6,61.4,1587,1834,1.01,2.83
,19.5,61.2,1577,1823,1.01,2.08
,19.5,61.1,1578,1817,1.01,2.33
,19.5,61,1586,1812,1.01,2.41
,19.5,61,1664,1823,1.01,2.08
,19.5,61,1585,1824,1.01,1.42
,19.4,60.8,1588,1827,1.01,2.08
,19.4,60.7,1584,1815,1.01,1.83
,19.4,60.6,1584,1829,1.01,2.75
,19.4,60.6,1584,1819,1.01,1.58
,19.3,60.4,1584,1833,1.01,2.41
,19.3,60.3,1584,1826,1.01,1.83
,19.3,60.2,1585,1828,1.01,1.91
,19.3,60.1,1584,1840,1.01,2
,19.3,60,1586,1840,1.01,2.25
,19.2,59.9,1575,1825,1.01,2.16
,19.2,59.8,1578,1829,1.01,1.83
,19.2,59.7,1587,1833,1.01,1.5
,19.2,59.6,1585,1825,1.01,2.83
,19.2,59.5,1581,1792,1.01,2.16
,19.1,59.4,1586,1815,1.01,2.25
,19.1,59.4,1585,1831,1.01,2.25
,19.1,59.5,1573,1822,1.01,1.67
,19.1,59.3,1586,1817,1.01,2.91
,19,59.2,1584,1823,1.01,2.33
,19,59.2,1584,1830,1.01,2
,19,59.2,1581,1830,1.01,2.25
,19,59.1,1587,1834,1.01,2.41
,19,59,1633,1818,1.01,2
,19,58.9,1584,1834,1.01,2
,18.9,58.8,1585,1835,1.01,1.83
,18.9,58.8,1586,1829,1.01,2.41
,18.9,58.7,1572,1815,1.01,1.83
,18.9,58.5,1583,1836,1.01,2.83
,18.9,58.4,1572,1818,1.01,2.41
,18.8,58.4,1584,1840,1.01,2.33
,18.8,58.4,1584,1831,1.01,2.41
,18.8,58.3,1584,1817,1.01,2.41
,18.8,58.3,1585,1819,1.01,2.33
,18.8,58.4,1584,1831,1.01,2.41
,18.8,58.4,1584,1822,1.01,2.5
,18.7,58.2,1583,1815,1.01,2.66
,18.7,58.1,1584,1831,1.01,2.16
,18.7,58.1,1584,1835,1.01,2.41
,18.7,58.1,1584,1827,1.01,2.08
,18.7,57.9,1584,1832,1.01,2.41
,18.7,57.9,1584,1829,1.01,2.33
,18.7,57.8,1587,1840,1.01,2.33
,18.6,57.8,1580,1835,1.01,2.66
,18.6,57.7,1578,1818,1.01,2.33
,18.6,57.7,1590,1814,1.01,1.83
,18.5,57.6,1588,1830,1.01,2.25
,18.5,57.6,1584,1818,1.01,2.66
,18.5,57.5,1573,1833,1.01,2.16
,18.5,57.5,1584,1830,1.01,2.83
,18.4,57.4,1586,1830,1.01,2.33
,18.5,57.4,1584,1828,1.01,2.75
,18.4,57.3,1582,1831,1.01,2.5
,18.4,57.4,1585,1835,1.01,2
,18.4,57.3,1576,1830,1.01,2.16
,18.4,57.1,1579,1833,1.01,2.08
,18.3,57.1,1584,1835,1.01,2.91
,18.4,57.2,1584,1823,1.01,2.41
,18.3,57,1586,1830,1.01,2.66
,18.3,56.9,1567,1833,1.01,2.75
,18.3,56.8,1583,1831,1.01,2.58
,18.3,56.8,1584,1830,1.01,1.67
,18.2,56.7,1578,1809,1.01,2.75
,18.2,56.6,1578,1810,1.01,2.66
,18.2,56.6,1600,1808,1.01,2.66
,18.2,56.6,1584,1823,1.01,2.58
,18.1,56.6,1582,1871,1.01,2.5
,18.1,56.5,1587,1835,1.01,2.83
,18.1,56.5,1578,1837,1.01,2.5
,18.1,56.5,1590,1833,1.01,2.16
,18.1,56.4,1582,1830,1.01,2.91
,18.1,56.3,1580,1833,1.01,2.66
,18.1,56.4,1579,1825,1.01,2.25
,18.1,56.3,1581,1827,1.01,2.58
,18.1,56.3,1581,1818,1.01,3.33
,18,56.1,1585,1831,1.01,2.91
,18,56,1574,1822,1.01,2.58
,18,56,1574,1808,1.01,2.58
,18,55.9,1570,1829,1.01,3.08
,17.9,55.9,1584,1829,1.01,3.25
,17.9,55.8,1584,1823,1.01,2.58
,17.9,55.8,1578,1807,1.01,2.41
,17.9,55.7,1585,1813,1.01,2.66
,17.8,55.6,1586,1818,1.01,2.66
,17.8,55.7,1577,1820,1.01,2.58
,17.8,55.7,1584,1827,1.01,2.66
,17.8,55.6,1578,1826,1.01,3
,17.7,55.6,1584,1885,1.01,2.25
,17.8,55.7,1523,1824,1.01,2.91
,17.7,55.6,1572,1832,1.01,3.33
,17.7,55.6,1585,1834,1.01,3.08
,17.7,55.6,1584,1825,1.01,2
,17.7,55.4,1584,1830,1.01,2.66
,17.7,55.4,1564,1811,1.01,2.91
,17.7,55.3,1577,1822,1.01,2.58
,17.6,55.4,1584,1829,1.01,2.5
,17.6,55.3,1585,1827,1.01,2.33
,17.6,55.3,1589,1824,1.01,2.08
,17.6,55.2,1612,1822,1.01,2.5
,17.6,55.1,1584,1825,1.01,2.75
,17.6,55.1,1581,1818,1.01,2.5
,17.5,55,1584,1822,1.01,2.66
,17.5,55,1585,1821,1.01,2.66
,17.5,55,1586,1825,1.01,2.33
,17.5,55,1589,1867,1.01,2.66
,17.5,55,1585,1829,1.01,2.5
,17.4,54.9,1579,1815,1.01,2.33
,17.4,54.9,1574,1814,1.01,2.41
,17.4,54.8,1584,1827,1.01,2.83
,17.4,54.9,1578,1808,1.01,2.75
,17.3,54.8,1579,1821,1.01,2.08
,17.3,54.7,1586,1817,1.01,2.25
,17.3,54.7,1583,1824,1.01,2.16
,17.3,54.7,1589,1825,1.01,2
,17.3,54.7,1584,1831,1.01,2.5
,17.2,54.6,1584,1830,1.01,2.41
,17.2,54.6,1584,1827,1.01,2.25
,17.2,54.6,1612,1833,1.01,2.41
,17.2,54.5,1584,1823,1.01,2.66
,17.2,54.5,1585,1819,1.01,1.83
,17.1,54.4,1584,1822,1.01,2.08
,17.1,54.3,1586,1826,1.01,1.83
,17,54.4,1597,1840,1.01,1.58
,17.1,54.5,1584,1808,1.01,1.91
,17,54.4,1583,1808,1.01,2
,17,54.4,1568,1819,1.01,2.08
,17,54.4,1586,1823,1.01,2.75
,17,54.3,1584,1823,1.01,2
,16.9,54.3,1582,1814,1.01,1.91
,16.9,54.2,1585,1808,1.01,2
,16.9,54.2,1584,1810,1.01,2.16
,16.8,54.2,1585,1814,1.01,2.08
,16.8,54.2,1579,1815,1.01,2.08
,16.8,54.3,1600,1824,1.01,2.41
,16.8,54.3,1574,1815,1.01,2.58
,16.8,54.3,1586,1829,1.01,2.41
,16.7,54.3,1586,1831,1.01,1.91
,16.7,54.3,1584,1822,1.01,1.91
,16.8,54.3,1584,1815,1.01,2.08
,16.7,54.1,1584,1815,1.01,1.83
,16.7,54.1,1584,1808,1.01,2.08
,16.7,54.2,1587,1821,1.01,1.5
,16.6,54.1,1584,1824,1.01,1.25
,16.6,54,1582,1823,1.01,1.5
,16.6,54,1588,1822,1.01,1.58
,16.6,54,1586,1826,1.01,1.5
,16.6,54,1588,1823,1.01,2
,16.5,53.9,1584,1824,1.01,2
,16.5,53.9,1584,1811,1.01,1.83
,16.5,53.9,1586,1824,1.01,2.16
,16.5,53.8,1583,1823,1.01,1.58
,16.5,53.8,1587,1828,1.01,2.16
,16.5,53.9,1572,1824,1.01,1.91
,16.5,53.9,1589,1823,1.01,1.67
,16.4,53.7,1587,1813,1.01,1.83
,16.4,53.7,1575,1813,1.01,1.58
,16.4,53.6,1579,1819,1.01,1.91
,16.4,53.7,1584,1815,1.01,1.91
,16.3,53.6,1535,1811,1.01,1.67
,16.3,53.6,1586,1817,1.01,1.58
,16.3,53.6,1586,1819,1.01,1.75
,16.3,53.6,1585,1819,1.01,1.17
,16.3,53.7,1586,1818,1.01,1.33
,16.3,53.7,1584,1827,1.01,2.08
,16.3,53.6,1585,1824,1.01,1.42
,16.2,53.5,1587,1824,1.01,2
,16.2,53.5,1665,1785,1.01,1.25
,16.2,53.5,1573,1818,1.01,1.33
,16.2,53.5,1589,1831,1.01,1.5
,16.1,53.5,1586,1823,1.01,1.58
,16.1,53.5,1585,1822,1.01,1.67
,16.1,53.5,1588,1805,1.01,1.58
,16.1,53.4,1585,1808,1.01,1.83
,16.1,53.4,1589,1821,1.01,2.08
,16,53.4,1589,1825,1.01,1.58
,16,53.4,1583,1830,1.01,1.42
,16,53.5,1585,1825,1.01,1.58
,16,53.4,1584,1808,1.01,1.5
